ANO,UF,Codmun6,Codmun7,Município,RAZDEP,SOBRE60,T_ANALF18M,T_MED18M,GINI,PPOB,REN1,T_DES18M,T_BANAGUA,T_LIXO,T_LUZ,AGUA_ESGOTO,T_FUNDIN_TODOS_MMEIO,T_M10A17CF,T_MULCHEFEFIF014,T_NESTUDA_NTRAB_MMEIO,IDHM_E,IDHM_L,IDHM_R
2010,11,110001,1100015,ALTA FLORESTA D'OESTE,0.95263,0.8318,0.87,0.2319,0.42,0.5288,0.6377,0.9483,0.802,0.9405,0.9398,0.9069,0.7519,0.9325,0.8549,0.8388,0.526,0.763,0.657
2010,11,110002,1100023,ARIQUEMES,0.95332,0.8769,0.9147,0.3458,0.47,0.7096,0.8311,0.9543,0.8535,0.9672,0.9858,0.886,0.8773,0.909,0.8193,0.9033,0.6,0.806,0.716
2010,11,110003,1100031,CABIXI,0.95188,0.8257,0.8527,0.2389,0.49,0.5302,0.6229,0.9742,0.9163,0.9914,0.9636,0.9669,0.7847,0.9341,0.9297,0.8341,0.559,0.757,0.65
2010,11,110004,1100049,CACOAL,0.95621,0.8856,0.9106,0.3103,0.43,0.7018,0.7852,0.9439,0.9344,0.9817,0.9889,0.9815,0.8842,0.9329,0.872,0.9036,0.62,0.821,0.727
2010,11,110005,1100056,CEREJEIRAS,0.95433,0.8672,0.8883,0.2779,0.5,0.6515,0.6701,0.9458,0.8687,0.9189,0.9885,0.9466,0.8447,0.9823,0.7412,0.8984,0.602,0.799,0.688
2010,11,110006,1100064,COLORADO DO OESTE,0.95418,0.8803,0.8659,0.2861,0.51,0.6289,0.7107,0.9424,0.9389,0.9279,0.9776,0.9701,0.8338,0.8996,0.86,0.9024,0.584,0.814,0.676
2010,11,110007,1100072,CORUMBIARA,0.95368,0.8434,0.8645,0.1482,0.52,0.5358,0.5534,0.9661,0.8643,0.9019,0.9781,0.9369,0.7349,0.9442,0.8974,0.8397,0.473,0.774,0.63
2010,11,110008,1100080,COSTA MARQUES,0.93987,0.8197,0.9061,0.211,0.48,0.442,0.5656,0.9566,0.5432,0.7935,0.9013,0.6359,0.7181,0.8198,0.7678,0.8143,0.493,0.751,0.616
2010,11,110009,1100098,ESPIGÃO D'OESTE,0.95317,0.8854,0.8782,0.2177,0.48,0.6492,0.7126,0.9542,0.8471,0.9107,0.967,0.9234,0.829,0.9068,0.753,0.896,0.536,0.819,0.691
2010,11,110010,1100106,GUAJARÁ-MIRIM,0.94333,0.8888,0.913,0.2986,0.46,0.5608,0.721,0.9293,0.4932,0.9041,0.9771,0.6316,0.7896,0.8947,0.7754,0.8364,0.519,0.823,0.663
2010,11,110011,1100114,JARU,0.95251,0.8907,0.8851,0.2745,0.51,0.6788,0.7515,0.9496,0.8281,0.9504,0.994,0.8489,0.8574,0.9176,0.807,0.8966,0.577,0.825,0.687
2010,11,110012,1100122,JI-PARANÁ,0.95602,0.8767,0.9162,0.362,0.47,0.7374,0.8335,0.9484,0.8931,0.9536,0.9935,0.9413,0.8872,0.9475,0.8445,0.9327,0.617,0.81,0.728
